,locus_name,BF,FC,BF_k1_1,BF_k1_2
2044,YFL025C,-4.9391240377315055,0.08795460813308878,15.328703146222423,-4.536737169872953
2045,YFL026W,-4.7721708283383695,0.02156781589553773,49.52254603267529,8.14099206282656
2046,YFL027C,-5.352118121171359,0.03760867969128313,5.313216636205488,-4.367265540507762
2047,YFL028C,-5.10008780354629,0.047444665027878745,-3.251031044421259,-1.7896144023637826
2048,YFL029C,-5.111547806467983,0.036407756337433705,-2.9072213401332445,-4.9569146871799985
2049,YFL030W,-5.193111049816048,-0.09133027559374889,-3.100327635155248,-4.724614822868565
2050,YFL031C-A,-5.389848110754861,-0.13476914029881498,9.855420353096692,-3.0964738357353783
2051,YFL031W,46.43410113124741,-0.3715867709035293,61.32429526223516,-3.7646042100098316
2052,YFL032W,-4.196563112773215,-1.2140989789279686,-3.617922115694237,-5.885451141568144
2053,YFL033C,-4.9803069566294464,-0.03409812885550892,-1.217207789175302,-4.736323350500624
2054,YFL034C-A,-3.280883765585656,0.16114497351612664,1.1363924561669732,3.535705341288892
2055,YFL034C-B,-4.085003233453429,0.1525136911387041,1.5451781412499013,-4.518323755798575
2056,YFL034W,-5.164594083446006,-0.016199375998695715,-2.2983408992745202,-4.814394259618972
2057,YFL036W,1.5642807304018933,-0.18085995658201845,4.571435485447499,-3.296946345446894
2058,YFL037W,-4.794385493316924,0.005130562851261733,5.277143206221753,5.861719990929849
2059,YFL038C,4.859955557084822,0.10999915692670255,47.0551561183544,16.037500473802737
2060,YFL039C,14.210845781123925,-0.08226538060910539,17.67486781542307,10.32167961173419
2061,YFL040W,-5.603284416945785,0.06572405545470102,-5.215138766331383,-5.3612935967877675
2062,YFL041W,-4.825502239257457,0.04859784464586802,-3.5018143831803323,-4.795155536159576
2063,YFL041W-A,-5.749773448196188,-0.06526898598784747,-4.914593238680347,-4.560837135810349
2064,YFL042C,-2.626602196690072,0.12734819349756216,-4.919111595621956,-4.137429923308179
2065,YFL044C,-4.449890263872829,0.1252608082465503,-2.970583667320885,-4.172493625797079
2066,YFL045C,-2.2883486695856234,0.0700427850523193,43.504399989105075,1.1601196447460596
2067,YFL046W,-3.316547045344317,0.2150318821931437,-2.4408957292874462,-0.6014282523969237
2068,YFL047W,-4.025047163179344,0.14755598840405995,5.427759664520171,-5.01568266916602
2069,YFL048C,-3.3424782105667625,0.10950918046108699,3.904882595611082,-4.775319183349535
2070,YFL049W,-5.2183042578535765,-0.024214406191948163,10.17878020712544,-2.863601522648986
2071,YFL050C,-5.332814799278016,-0.020741475338788905,-2.3348429102927746,-4.576174889144101
2072,YFL051C,-5.504344570212533,-0.10856443533337672,-2.059548264616688,-5.43190828570475
2073,YFL052W,-2.5145455932905985,0.2930261251278696,-5.2582430582850215,-4.068100919251326
2074,YFL053W,-4.571914311146531,-0.22232159330687196,-5.017290744347121,-4.566174828949787
2075,YFL054C,-4.4347672670037666,0.10614771162911105,-5.08702925147984,-4.9910503129896435
2076,YFL055W,-5.507438357602476,0.0672585224493847,-4.870184811642657,-4.452337911607493
2077,YFL056C,-5.228293704800879,0.14069967811395118,-3.9369473763124465,-5.151495091025545
2078,YFL057C,-4.314181832419545,-0.23829668283471434,-5.263360105901977,-5.314881841718674
2079,YFL058W,-5.975178002410834,-0.02333249199615984,-5.470371579470362,-3.888919398453724
2080,YFL059W,-4.942230069184465,0.16844828018771693,-2.8088172035144114,-5.17427057550779
2081,YFL060C,-4.603290693349331,0.28915278561529834,-5.33863991872946,-5.281117608368033
2082,YFL061W,-5.380204396800464,0.220361554367394,-5.124185103228949,-4.674648341914607
2083,YFL062W,-3.402965952744209,0.22949260507383032,14.072299807481116,-4.531476584561653
2084,YFL063W,-6.814137967463809,0.07130444211574744,-6.696998390921915,-6.62346835374454
2085,YFL064C,-5.744794204531593,0.16057237159494378,-5.013437786221221,-5.547596036839065
2086,YFL065C,-5.970517932735647,-0.2256776369242579,-4.402267133511175,-5.687838677918445
2087,YFL066C,-5.251125051202762,0.10406246214470578,-4.821290838128206,-5.1062544236348195
2088,YFL067W,-2.924188505157486,-0.2815332941921402,5.665471702373396,-4.33952477136934
2089,YFL068W,-5.399109747816828,0.011291006692781737,-5.20016539035922,-4.825784338068735
2090,YFR001W,-2.488865754934589,-0.18220971537990827,25.13001110873576,-3.3759428591345233
2091,YFR002W,-4.865705943745723,0.05315346552994399,31.87302784125333,-4.116453073562834
2092,YFR003C,-4.497408514657836,0.0970078185340284,-4.751732277304276,-4.732520908841904
2093,YFR004W,4.313165316329519,0.15464507430911176,-4.733463863481453,6.727107093428667
2094,YFR005C,-5.0668415225358,-0.07698566060114932,12.047435776472208,-4.411755728376395
2095,YFR006W,-3.075682381295154,0.1180236728537179,-2.165821204942984,-4.800234900278147
2096,YFR007W,-2.1190082303078874,0.315509019856274,0.746021984233221,-5.19236817429715
2097,YFR008W,-5.46581452300611,0.05827874568922102,-4.050245833156188,-5.274460255035045
2098,YFR009W,-4.963365392827875,-0.00999781339643576,31.06409887695823,-4.722831046677482
2099,YFR009W-A,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
2100,YFR010W,-3.2043931624758906,0.0937199005545481,44.50900234695766,-1.1234873949496866
2101,YFR010W-A,-6.252346875845543,0.530736247141842,-5.317883598322691,-6.008924930077981
2102,YFR011C,-5.321719296676262,0.07130606527602178,-3.7718965137882927,-4.665561415724335
2103,YFR012W,-6.002392438626862,0.24122975219244192,-5.922470961047668,-5.0745974569498875
2104,YFR012W-A,-6.381321506946178,0.07130446397600111,-5.971399340406556,-6.114931971544508
2105,YFR013W,-4.862413921610371,-0.051424860196346046,9.302345620496107,-4.443427501835207
2106,YFR014C,-1.6184366611839651,0.12930948265904688,-3.6837664921103963,-1.916834824804362
2107,YFR015C,1.5358778693802135,0.0654824426076764,-3.820957607114229,-1.4846223966336738
2108,YFR016C,-5.040593202429476,-0.018340429323881764,19.763275233025045,-4.263415132055365
2109,YFR017C,8.403640636398421,-0.23090686437074004,91.89306951347547,-4.542557028001336
2110,YFR018C,-2.8336413811875456,0.10798387874606906,10.153868107760902,-4.534576500454596
2111,YFR019W,-5.251500423629396,-0.0016517042527386839,7.310185002913029,-4.487170497699724
2112,YFR020W,-4.030473664604601,0.15015214920071654,-3.122440089387884,-4.731943146971947
2113,YFR021W,-4.9107776340067355,0.06935878223257996,-4.6667522932254855,-3.621087463885561
2114,YFR022W,-5.242839366918462,0.04531105897830868,-2.2352004666073335,-4.983845697928872
2115,YFR023W,-6.023548318698199,-0.4026270800203398,-4.546300405954874,-5.766959223604132
2116,YFR024C-A,-2.6546401691022883,0.09378212712564382,-3.385883362187221,-3.796323121816957
2117,YFR025C,-2.5306847956180683,0.17829589949329508,-3.6699948463316026,-4.945950212878397
2118,YFR026C,-4.8705779936154965,0.375563349403003,-5.637463641197575,-4.330492522815655
2119,YFR027W,-5.359066329244412,0.10570297366781255,-5.225022119637518,-4.971243017179043
2120,YFR028C,-5.009903730282062,0.04458382265376469,5.519177178288962,-0.8209682045869423
2121,YFR029W,-4.198589231633289,0.14616426223736448,-3.6506240914907813,-5.0901466339299075
2122,YFR030W,-5.306126598912001,0.016857439900169514,1.6353980536372708,-1.1965628169583185
2123,YFR031C,-5.213472098260986,-0.021973652671186724,13.603992392786573,-4.510545209991157
2124,YFR031C-A,0.9616738445668357,0.044211973589372976,12.062087804033624,39.961007835409006
2125,YFR032C,-5.24942408422434,-0.1965087714318105,-4.961547045926097,3.5299705962243504
2126,YFR032C-A,-2.313473072719353,-0.0455257580608949,93.5416037382552,26.70868279376556
2127,YFR032C-B,-6.026858716901979,0.10447147474949897,-5.859140525372999,-5.811686976565812
2128,YFR033C,-4.8810275377637495,0.03632228666440886,7.010798234747948,-4.833216018372133
2129,YFR034C,-1.419130495547123,0.23143413223802717,1.2262478811773878,0.27652302547384294
2130,YFR034W-A,-6.2777008343242064,0.6562671237606239,-6.3067653401323875,-6.078521852210476
2131,YFR035C,-5.11071508075304,0.15901124236949937,-2.280577520693654,-5.205291989898486
2132,YFR036W,-4.920683702250073,0.17607945390420426,-2.745352820896662,-4.727765533502848
2133,YFR036W-A,-5.437700165686601,-0.7587712677699091,-2.4681482293309456,-6.078521852210476
2134,YFR037C,-0.03600673478635404,0.1519123901456634,-2.2863775307558267,3.3808891758474124
2135,YFR038W,-5.226009293982452,-0.03670840826021075,0.8847258622827929,-4.8794947583930055
2136,YFR039C,-4.0319647740378395,0.14102012047957943,9.768244695298883,-5.016258250143147
2137,YFR040W,-5.019345119508056,0.0003045681552333249,53.36627385647721,-4.341108248409042
2138,YFR041C,-1.8570821729408407,0.21815741130312324,11.99256117355162,-4.036164778869536
2139,YFR042W,-3.035693090282498,0.2826945744899712,-3.5567193503417625,-3.1453827972254875
2140,YFR043C,-3.555868698593757,0.3129302650743768,3.5137454589535446,-4.335150042722963
2141,YFR044C,-4.147163571588018,-0.04505816538310217,-1.6801576885501648,4.1889076465072375
2142,YFR045W,-2.3979718884189785,0.23355395492020717,-4.4835475752313165,-3.865480773706504
2143,YFR046C,-5.1883442005215334,0.08127697894512191,2.480875934325222,-5.060496386338231
2144,YFR047C,-4.5482822599725194,0.060387302877370326,-4.917055046039682,-2.742440422958242
2145,YFR048W,-5.2686492563793195,-0.04452672268968706,4.962096695634457,-5.094208705379402
2146,YFR049W,-4.894410402184319,0.07334612192505678,-2.730949013885483,-0.9025447533227249
2147,YFR050C,0.9788021497438799,0.1375166773834546,-0.7431950811766753,-4.472083009907707
2148,YFR051C,-4.890809275701238,0.009014745020334418,-4.3485935903247706,-4.254075390555479
2149,YFR052C-A,-2.4873171786516766,0.2616015373708107,29.877655991642033,3.0703513473210666
2150,YFR052W,-3.302846016487105,0.10047246646748664,2.2220316532588167,0.38402571755421655
2151,YFR053C,4.635751205791415,-0.0833116654702613,339.7449045868886,105.20485179631194
2152,YFR054C,-4.7495388556645,0.6789883752603132,-5.756919813356744,-5.702814871460774
2153,YFR055W,12.931738027826398,0.2814119489516686,-2.388141691948792,-4.238864944413933
2154,YFR056C,-6.111205581967556,0.07130452409176696,-3.820680435912003,-5.9006764900498965
2155,YFR057W,-6.803538168354635,1.0713044960477356,-6.696998390921915,-6.62346835374454
2156,YGL001C,2.621048180984861,0.1843036234462514,-4.0427437430189554,-2.2235198569921106
2157,YGL002W,-5.068862025907186,0.061071449601349304,2.742263330577461,-2.0120851897731584
2158,YGL003C,-4.6801094011075755,-0.07466007970039869,-4.96918270765987,-4.98234493302945
2159,YGL004C,-4.480171255440125,0.1306165238763347,7.241528839887779,-4.208578866253861
2160,YGL005C,-2.055933729202016,0.2654483605793568,-0.02686685237638776,-5.101075495610591
2161,YGL006W,4.108882806256534,0.16465756977630336,48.86597667484241,19.299658058101766
2162,YGL006W-A,-5.308250883649552,1.0713050900186023,-5.489968357114133,-5.885451141568144
2163,YGL007C-A,-6.297051930810031,0.8786595396319955,-5.662662335764271,-6.173660170736798
2164,YGL007W,-5.6577704714818635,0.5258709405404275,-5.910921276188724,-4.52187205282415
2165,YGL008C,15.119730965869476,0.0653120194821474,22.481438597665107,4.400782174571405
2166,YGL009C,3.9247483031091996,0.12041949819031317,88.82344765862767,-2.123404437836479
2167,YGL010W,-5.059294597901434,0.130778797879268,-4.201898998599924,-1.1235832830478425
2168,YGL011C,6.5242955211481055,0.1720292922606781,13.649607287149832,0.5750961264681584
2169,YGL012W,-4.846591822394843,-0.0005793683315479234,-3.919603479848235,-2.4933604391581685
2170,YGL013C,-5.1924284368314035,0.042961905747587535,12.276340243033797,-3.8859345068610183
2171,YGL014C-A,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
2172,YGL014W,-4.767896304275367,-0.040826992862304776,24.719879107383402,-4.803408332321124
2173,YGL015C,-5.673880084120412,0.7151611801269703,-5.986529310366023,-5.330562776936367
2174,YGL016W,-4.75672990000638,-0.10374527432794181,20.631558690633415,-5.142889650317549
2175,YGL017W,-4.508557264696428,0.11201728039861772,-3.1442592685424184,-5.06291437522469
2176,YGL018C,-3.34195922278788,0.25359625346588854,-5.223117274772593,-5.066060212825436
2177,YGL019W,-2.550433226736704,-0.1028585253840617,5.902454830187633,-2.468499192778398
2178,YGL020C,-4.132828802454352,0.08677860868593708,8.119523107880436,-4.383921976839761
2179,YGL021W,-5.192314564456756,0.05592148385627711,8.555918689117444,-5.018736249175668
2180,YGL022W,-4.277985897090728,0.03040888289172397,-4.211956926876422,3.492721962693284
2181,YGL023C,-4.137808537952345,-0.060611801600365334,10.431116445124136,-1.1711197316685797
2182,YGL024W,-6.0751743580565405,-0.29126590894303434,-4.77457371683562,-5.9740361231412065
2183,YGL025C,-3.968601152551783,0.12774789231884007,-4.5106090253745625,-2.750384101829076
2184,YGL026C,-4.873095533464629,-0.0014424148520321787,-4.622649230013105,-1.74773397957792
2185,YGL027C,-5.02910702879381,0.01185578667932432,-0.712292865198609,-4.603552031614016
