genes,#R3,#R6,#R12,#R20
YDL077C,0,0,0,0
YDL078C,0,0,0,0
YDL079C,7,0,0,0
YDL080C,0,0,0,0
YDL081C,0,0,0,0
YDL082W,0,0,0,0
YDL083C,0,0,0,0
YDL084W,0,0,0,0
YDL085C-A,0,0,0,0
YDL085W,32,28,5,3
YDL086C-A,0,0,0,0
YDL086W,0,0,0,0
YDL087C,0,0,0,0
YDL088C,0,0,0,0
YDL089W,0,0,0,0
YDL090C,0,0,0,0
YDL091C,0,0,0,0
YDL092W,0,0,0,0
YDL093W,0,0,0,0
YDL094C,11,8,0,0
YDL095W,0,0,0,0
YDL096C,0,6,16,8
YDL097C,0,0,0,0
YDL098C,0,0,0,0
YDL099W,0,0,0,0
YDL100C,0,0,0,0
YDL101C,0,0,0,0
YDL102W,0,0,0,0
YDL103C,0,0,0,0
YDL104C,0,0,0,0
YDL105W,0,0,0,0
YDL106C,0,0,0,0
YDL107W,0,0,0,0
YDL108W,0,0,0,0
YDL109C,0,0,0,0
YDL110C,0,0,0,0
YDL111C,0,0,0,0
YDL112W,0,0,0,0
YDL113C,0,0,0,0
YDL114W,0,2,1,0
YDL114W-A,0,2,0,0
YDL115C,0,0,0,0
YDL116W,0,0,0,0
YDL117W,0,0,0,0
YDL118W,7,6,1,0
YDL119C,0,0,0,0
YDL120W,0,0,0,0
YDL121C,0,0,0,0
YDL122W,0,0,0,0
YDL123W,0,0,0,0
YDL124W,12,4,0,0
YDL125C,0,0,0,0
YDL126C,0,0,0,0
YDL127W,1,0,0,0
YDL128W,0,0,0,0
YDL129W,0,0,0,0
YDL130W,0,0,0,0
YDL130W-A,0,0,0,0
YDL131W,0,0,0,0
YDL132W,0,0,0,0
YDL133C-A,0,0,0,0
YDL133W,0,0,0,0
YDL134C,0,0,0,0
YDL135C,0,0,0,0
YDL136W,0,0,0,0
YDL137W,0,0,0,0
YDL138W,0,0,0,0
YDL139C,0,0,0,0
YDL140C,0,0,0,0
